Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0366	lstrlib	match	0x140480B20	sub_140480B20	Agent - File-unique string / const
0367	lstrlib	lmemfind	0x140480DE0	sub_140480DE0	Neighbour matching
0368	lstrlib	push_onecapture	0x140480E80	sub_140480E80	Single called (xref) option
0369	lstrlib	push_captures	0x140480F50	sub_140480F50	Single called (xref) option
0370	lstrlib	str_find_aux	0x140480FE0	sub_140480FE0	Single called (xref) option
0371	lstrlib	str_find	0x140481280	sub_140481280	Neighbour matching
0372	lstrlib	str_match	0x140481290	sub_140481290	Neighbour matching
0373	lstrlib	gmatch_aux	0x1404812A0	sub_1404812A0	Agent - File-unique string / const
0374	lstrlib	gmatch	0x140481470	sub_140481470	Neighbour matching
0375	lstrlib	gfind_nodef	0x1404814D0	sub_1404814D0	Anchor - Complex unique string / const
0376	lstrlib	add_s	0x1404814E0	sub_1404814E0	Neighbour matching
0377	lstrlib	add_value	0x1404815F0	sub_1404815F0	Agent - File-unique string / const
0378	lstrlib	str_gsub	0x140481720	sub_140481720	Agent - File-unique string / const
0379	lstrlib	addquoted	0x140481910	sub_140481910	Neighbour matching
0380	lstrlib	scanformat	0x140481A30	sub_140481A30	Anchor - Complex unique string / const
0381	lstrlib	addintlen	N/A	N/A	ifdeffed out / inlined
0382	lstrlib	str_format	0x140481B40	sub_140481B40	Agent - File-unique string / const
0383	lstrlib	createmetatable	0x140481E90	sub_140481E90	Neighbour matching
0384	lstrlib	luaopen_string	0x140481F10	sub_140481F10	Anchor - Complex unique string / const
0385	ltable	hashnum	N/A	N/A	ifdeffed out / inlined
0386	ltable	mainposition	0x14047BB60	sub_14047BB60	Single called (xref) option
0387	ltable	arrayindex	N/A	N/A	ifdeffed out / inlined
0388	ltable	findindex	0x14047BC50	sub_14047BC50	Agent - File-unique string / const
0389	ltable	luaH_next	0x14047BD60	sub_14047BD60	Neighbour matching
0390	ltable	computesizes	N/A	N/A	ifdeffed out / inlined
0391	ltable	countint	N/A	N/A	ifdeffed out / inlined
0392	ltable	numusearray	N/A	N/A	ifdeffed out / inlined
0393	ltable	numusehash	N/A	N/A	ifdeffed out / inlined
0394	ltable	setarrayvector	0x14047BE60	sub_14047BE60	Neighbour matching
0395	ltable	setnodevector	0x14047BEF0	sub_14047BEF0	Agent - File-unique string / const
